filename,label,genre,word_count,sentence_count,code,name,axis,checked,score,metric_name,metric_value,threshold_warn,threshold_severe,flag_count
boring/01_oaep_bellare_rogaway_1994.pdf,boring,technical_report,8185,522,D1.1,Buried thesis,direction,True,pass,position_of_first_claim_pct,0.0134,0.2,0.4,1
boring/01_oaep_bellare_rogaway_1994.pdf,boring,technical_report,8185,522,D1.4,No signposting,direction,True,warn,transition_marker_ratio_at_section_boundaries,1.0,0.4,0.2,1
boring/01_oaep_bellare_rogaway_1994.pdf,boring,technical_report,8185,522,D1.6,Topic-position drift,direction,True,pass,expletive_subject_ratio,0.0556,0.1,0.2,30
boring/01_oaep_bellare_rogaway_1994.pdf,boring,technical_report,8185,522,D2.1,Padding / wordiness,density,True,pass,wordy_phrases_per_1000_words,2.57,4.0,8.0,21
boring/01_oaep_bellare_rogaway_1994.pdf,boring,technical_report,8185,522,D2.2,Nominalization fog,density,True,warn,nominalizations_per_sentence,0.793,1.5,2.5,32
boring/01_oaep_bellare_rogaway_1994.pdf,boring,technical_report,8185,522,D2.3,Passive overhang,density,True,pass,passive_sentence_ratio,0.1437,0.4,0.55,75
boring/01_oaep_bellare_rogaway_1994.pdf,boring,technical_report,8185,522,D2.4,Subject-verb separation,density,True,pass,pct_sentences_over_warn_threshold,0.1284,0.15,0.3,47
boring/01_oaep_bellare_rogaway_1994.pdf,boring,technical_report,8185,522,D2.7,Hedging clutter,density,True,pass,hedges_per_100_sentences,4.41,50,80,2
boring/01_oaep_bellare_rogaway_1994.pdf,boring,technical_report,8185,522,D2.8,Throat-clearing,density,True,pass,throat_clearing_phrases_per_1000_words,0.12,2.0,5.0,1
boring/01_oaep_bellare_rogaway_1994.pdf,boring,technical_report,8185,522,D3.1,Sentence-length monotony,texture,True,pass,coefficient_of_variation,0.8673,0.35,0.2,0
boring/01_oaep_bellare_rogaway_1994.pdf,boring,technical_report,8185,522,D3.3,Opener monotony,texture,True,severe,longest_same_first_token_run,5,3,5,5
boring/01_oaep_bellare_rogaway_1994.pdf,boring,technical_report,8185,522,D3.4,Paragraph monotony,texture,True,severe,paragraph_length_coefficient_of_variation,0.2851,0.4,0.25,18
boring/01_oaep_bellare_rogaway_1994.pdf,boring,technical_report,8185,522,D3.5,Vocabulary flatness,texture,True,warn,mattr,0.7007,0.55,0.45,10
boring/01_oaep_bellare_rogaway_1994.pdf,boring,technical_report,8185,522,D4.1,No concrete examples,surprise,True,pass,longest_abstract_paragraph_run,0,3,6,0
boring/01_oaep_bellare_rogaway_1994.pdf,boring,technical_report,8185,522,D4.4,No specificity,surprise,True,warn,vague_terms_per_1000_words,6.84,6.0,12.0,56
boring/02_cbc_security_bellare_kilian_rogaway_1994.pdf,boring,technical_report,14386,1019,D1.1,Buried thesis,direction,True,pass,position_of_first_claim_pct,0.0115,0.2,0.4,1
boring/02_cbc_security_bellare_kilian_rogaway_1994.pdf,boring,technical_report,14386,1019,D1.4,No signposting,direction,True,warn,transition_marker_ratio_at_section_boundaries,1.0,0.4,0.2,1
boring/02_cbc_security_bellare_kilian_rogaway_1994.pdf,boring,technical_report,14386,1019,D1.6,Topic-position drift,direction,True,pass,expletive_subject_ratio,0.0579,0.1,0.2,61
boring/02_cbc_security_bellare_kilian_rogaway_1994.pdf,boring,technical_report,14386,1019,D2.1,Padding / wordiness,density,True,pass,wordy_phrases_per_1000_words,1.25,4.0,8.0,18
boring/02_cbc_security_bellare_kilian_rogaway_1994.pdf,boring,technical_report,14386,1019,D2.2,Nominalization fog,density,True,warn,nominalizations_per_sentence,0.725,1.5,2.5,29
boring/02_cbc_security_bellare_kilian_rogaway_1994.pdf,boring,technical_report,14386,1019,D2.3,Passive overhang,density,True,pass,passive_sentence_ratio,0.1354,0.4,0.55,138
boring/02_cbc_security_bellare_kilian_rogaway_1994.pdf,boring,technical_report,14386,1019,D2.4,Subject-verb separation,density,True,pass,pct_sentences_over_warn_threshold,0.0905,0.15,0.3,64
boring/02_cbc_security_bellare_kilian_rogaway_1994.pdf,boring,technical_report,14386,1019,D2.7,Hedging clutter,density,True,pass,hedges_per_100_sentences,5.99,50,80,4
boring/02_cbc_security_bellare_kilian_rogaway_1994.pdf,boring,technical_report,14386,1019,D2.8,Throat-clearing,density,True,pass,throat_clearing_phrases_per_1000_words,0.0,2.0,5.0,0
boring/02_cbc_security_bellare_kilian_rogaway_1994.pdf,boring,technical_report,14386,1019,D3.1,Sentence-length monotony,texture,True,pass,coefficient_of_variation,0.8662,0.35,0.2,0
boring/02_cbc_security_bellare_kilian_rogaway_1994.pdf,boring,technical_report,14386,1019,D3.3,Opener monotony,texture,True,severe,longest_same_first_token_run,4,3,5,5
boring/02_cbc_security_bellare_kilian_rogaway_1994.pdf,boring,technical_report,14386,1019,D3.4,Paragraph monotony,texture,True,severe,paragraph_length_coefficient_of_variation,0.2672,0.4,0.25,37
boring/02_cbc_security_bellare_kilian_rogaway_1994.pdf,boring,technical_report,14386,1019,D3.5,Vocabulary flatness,texture,True,severe,mattr,0.6614,0.55,0.45,10
boring/02_cbc_security_bellare_kilian_rogaway_1994.pdf,boring,technical_report,14386,1019,D4.1,No concrete examples,surprise,True,pass,longest_abstract_paragraph_run,0,3,6,0
boring/02_cbc_security_bellare_kilian_rogaway_1994.pdf,boring,technical_report,14386,1019,D4.4,No specificity,surprise,True,severe,vague_terms_per_1000_words,12.51,6.0,12.0,180
boring/04_nist_sp_800-207_zero_trust_2020.pdf,boring,technical_report,21562,1103,D1.1,Buried thesis,direction,True,pass,position_of_first_claim_pct,0.0059,0.2,0.4,1
boring/04_nist_sp_800-207_zero_trust_2020.pdf,boring,technical_report,21562,1103,D1.4,No signposting,direction,True,warn,transition_marker_ratio_at_section_boundaries,1.0,0.4,0.2,1
boring/04_nist_sp_800-207_zero_trust_2020.pdf,boring,technical_report,21562,1103,D1.6,Topic-position drift,direction,True,pass,expletive_subject_ratio,0.058,0.1,0.2,78
boring/04_nist_sp_800-207_zero_trust_2020.pdf,boring,technical_report,21562,1103,D2.1,Padding / wordiness,density,True,pass,wordy_phrases_per_1000_words,1.53,4.0,8.0,33
boring/04_nist_sp_800-207_zero_trust_2020.pdf,boring,technical_report,21562,1103,D2.2,Nominalization fog,density,True,warn,nominalizations_per_sentence,1.635,1.5,2.5,84
boring/04_nist_sp_800-207_zero_trust_2020.pdf,boring,technical_report,21562,1103,D2.3,Passive overhang,density,True,pass,passive_sentence_ratio,0.2729,0.4,0.55,301
boring/04_nist_sp_800-207_zero_trust_2020.pdf,boring,technical_report,21562,1103,D2.4,Subject-verb separation,density,True,pass,pct_sentences_over_warn_threshold,0.1168,0.15,0.3,103
boring/04_nist_sp_800-207_zero_trust_2020.pdf,boring,technical_report,21562,1103,D2.7,Hedging clutter,density,True,pass,hedges_per_100_sentences,7.25,50,80,6
boring/04_nist_sp_800-207_zero_trust_2020.pdf,boring,technical_report,21562,1103,D2.8,Throat-clearing,density,True,pass,throat_clearing_phrases_per_1000_words,0.09,2.0,5.0,2
boring/04_nist_sp_800-207_zero_trust_2020.pdf,boring,technical_report,21562,1103,D3.1,Sentence-length monotony,texture,True,warn,coefficient_of_variation,0.5832,0.35,0.2,1
boring/04_nist_sp_800-207_zero_trust_2020.pdf,boring,technical_report,21562,1103,D3.3,Opener monotony,texture,True,severe,longest_same_first_token_run,6,3,5,5
boring/04_nist_sp_800-207_zero_trust_2020.pdf,boring,technical_report,21562,1103,D3.4,Paragraph monotony,texture,True,severe,paragraph_length_coefficient_of_variation,1.3318,0.4,0.25,44
boring/04_nist_sp_800-207_zero_trust_2020.pdf,boring,technical_report,21562,1103,D3.5,Vocabulary flatness,texture,True,severe,mattr,0.7226,0.55,0.45,10
boring/04_nist_sp_800-207_zero_trust_2020.pdf,boring,technical_report,21562,1103,D4.1,No concrete examples,surprise,True,pass,longest_abstract_paragraph_run,2,3,6,0
boring/04_nist_sp_800-207_zero_trust_2020.pdf,boring,technical_report,21562,1103,D4.4,No specificity,surprise,True,warn,vague_terms_per_1000_words,10.44,6.0,12.0,225
boring/05_common_criteria_part1_v3-1r5.pdf,boring,technical_report,29973,1329,D1.1,Buried thesis,direction,True,pass,position_of_first_claim_pct,0.0019,0.2,0.4,1
boring/05_common_criteria_part1_v3-1r5.pdf,boring,technical_report,29973,1329,D1.4,No signposting,direction,True,warn,transition_marker_ratio_at_section_boundaries,1.0,0.4,0.2,1
boring/05_common_criteria_part1_v3-1r5.pdf,boring,technical_report,29973,1329,D1.6,Topic-position drift,direction,True,pass,expletive_subject_ratio,0.0512,0.1,0.2,87
boring/05_common_criteria_part1_v3-1r5.pdf,boring,technical_report,29973,1329,D2.1,Padding / wordiness,density,True,pass,wordy_phrases_per_1000_words,1.5,4.0,8.0,45
boring/05_common_criteria_part1_v3-1r5.pdf,boring,technical_report,29973,1329,D2.2,Nominalization fog,density,True,warn,nominalizations_per_sentence,2.373,1.5,2.5,95
boring/05_common_criteria_part1_v3-1r5.pdf,boring,technical_report,29973,1329,D2.3,Passive overhang,density,True,pass,passive_sentence_ratio,0.386,0.4,0.55,513
boring/05_common_criteria_part1_v3-1r5.pdf,boring,technical_report,29973,1329,D2.4,Subject-verb separation,density,True,warn,pct_sentences_over_warn_threshold,0.2045,0.15,0.3,201
boring/05_common_criteria_part1_v3-1r5.pdf,boring,technical_report,29973,1329,D2.7,Hedging clutter,density,True,pass,hedges_per_100_sentences,4.89,50,80,3
boring/05_common_criteria_part1_v3-1r5.pdf,boring,technical_report,29973,1329,D2.8,Throat-clearing,density,True,pass,throat_clearing_phrases_per_1000_words,0.1,2.0,5.0,3
boring/05_common_criteria_part1_v3-1r5.pdf,boring,technical_report,29973,1329,D3.1,Sentence-length monotony,texture,True,pass,coefficient_of_variation,1.0031,0.35,0.2,0
boring/05_common_criteria_part1_v3-1r5.pdf,boring,technical_report,29973,1329,D3.3,Opener monotony,texture,True,severe,longest_same_first_token_run,10,3,5,5
